# resource: Trotter & Gleser 1952, Appendix 1-4
# description: Data as given but with additional columns related to appendix heading, and stature in millimeters. 
Appendix_row,Sex,Race,stature,Hum,Rad,Ulna,Fem,Tib,Fib,Fem+Tib
3_12,f,White,1510,277,203,218,392,309,312,704
3_13,f,White,1520,280,205,221,396,312,315,711
3_14,f,White,1530,283,207,223,400,315,319,718
3_15,f,White,1540,286,209,225,404,319,322,725
3_16,f,White,1550,289,211,228,409,322,326,732
3_17,f,White,1560,292,213,230,413,326,329,740
3_18,f,White,1570,295,215,232,417,329,332,747
3_19,f,White,1580,298,217,235,421,333,336,754
3_20,f,White,1590,301,220,237,425,336,340,761
3_21,f,White,1600,304,222,239,429,340,343,768
3_22,f,White,1610,307,224,242,433,343,346,776
3_23,f,White,1620,310,226,244,437,346,349,783
3_24,f,White,1630,313,228,246,441,350,353,790
3_25,f,White,1640,316,230,249,445,353,356,797
3_26,f,White,1650,319,232,251,449,357,360,804
3_27,f,White,1660,322,234,253,453,360,363,812
3_28,f,White,1670,324,236,256,457,364,366,819
3_29,f,White,1680,327,239,258,461,367,370,826
3_30,f,White,1690,330,241,261,465,371,373,833
3_31,f,White,1700,333,243,263,469,374,377,840
3_32,f,White,1710,336,245,265,473,377,380,847
3_33,f,White,1720,339,247,268,477,381,384,855
3_34,f,White,1730,342,249,270,481,384,387,862
3_35,f,White,1740,345,251,272,485,388,390,869
3_36,f,White,1750,348,253,275,489,391,394,876
3_37,f,White,1760,351,255,277,494,395,397,883
3_38,f,White,1770,354,258,279,498,398,401,891
3_39,f,White,1780,357,260,282,502,402,404,898
3_40,f,White,1790,360,262,284,506,405,407,905
3_41,f,White,1800,363,264,286,510,409,411,912
3_42,f,White,1810,366,266,289,514,412,414,919
3_43,f,White,1820,369,268,291,518,415,418,927
3_44,f,White,1830,372,270,293,522,419,421,934
3_45,f,White,1840,375,272,296,526,422,425,941
4_1,f,Black,1400,245,165,195,352,275,278,637
4_2,f,Black,1410,248,169,198,356,279,282,645
4_3,f,Black,1420,251,173,201,361,283,286,653
4_4,f,Black,1430,254,176,204,365,287,290,661
4_5,f,Black,1440,258,180,207,369,291,294,669
4_6,f,Black,1450,261,184,210,374,295,298,677
4_7,f,Black,1460,264,187,213,378,299,302,685
4_8,f,Black,1470,267,191,216,383,303,306,693
4_9,f,Black,1480,271,195,219,387,308,310,701
4_10,f,Black,1490,274,198,222,391,312,314,709
4_11,f,Black,1500,277,202,225,396,316,318,717
4_12,f,Black,1510,280,205,228,400,320,322,724
4_13,f,Black,1520,284,209,231,405,324,326,732
4_14,f,Black,1530,287,213,235,409,328,330,740
4_15,f,Black,1540,290,216,238,413,332,334,748
4_16,f,Black,1550,293,220,241,418,336,338,756
4_17,f,Black,1560,297,224,244,422,340,342,764
4_18,f,Black,1570,300,227,247,426,344,346,772
4_19,f,Black,1580,303,231,250,431,348,350,780
4_20,f,Black,1590,306,235,253,435,352,354,788
4_21,f,Black,1600,310,238,256,440,357,358,796
4_22,f,Black,1610,313,242,259,444,361,362,804
4_23,f,Black,1620,316,245,262,448,365,366,812
4_24,f,Black,1630,319,249,265,453,369,370,820
4_25,f,Black,1640,322,253,268,457,373,374,828
4_26,f,Black,1650,326,256,271,462,377,378,836
4_27,f,Black,1660,329,260,274,466,381,382,843
4_28,f,Black,1670,332,264,277,470,385,386,851
4_29,f,Black,1680,335,267,280,475,389,390,859
4_30,f,Black,1690,339,271,283,479,393,394,867
4_31,f,Black,1700,342,275,286,484,397,398,875
4_32,f,Black,1710,345,278,289,488,401,402,883
4_33,f,Black,1720,348,282,292,492,406,406,891
4_34,f,Black,1730,352,285,295,497,410,410,899
4_35,f,Black,1740,355,289,298,501,414,414,907
4_36,f,Black,1750,358,293,301,505,418,418,915
4_37,f,Black,1760,361,296,304,510,422,422,923
4_38,f,Black,1770,365,300,307,514,426,426,931
4_39,f,Black,1780,368,304,310,519,430,430,939
4_40,f,Black,1790,371,307,313,523,434,434,947
4_41,f,Black,1800,374,311,316,527,438,438,955
4_42,f,Black,1810,378,315,319,532,442,442,963
4_43,f,Black,1820,381,318,322,536,446,446,970
4_44,f,Black,1830,384,322,325,541,450,450,978
4_45,f,Black,1840,387,325,328,545,454,454,986
